timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2022-05-20 00:00:00+00:00,APEUSD,7.781,8.174,7.5,7.9,32,40479,7.789,10,315288018,11927.062517416462,92936.02055002595
2022-05-21 00:00:00+00:00,APEUSD,7.9,8.3,7.572,7.841,58,22867,8.063,1,184371932,6904.482289830331,55680.29515095087
2022-05-22 00:00:00+00:00,APEUSD,7.841,8.198,7.6,7.979,61,823,8.048,1,6623109,241.9940991062317,1947.5998747491906
2022-05-23 00:00:00+00:00,APEUSD,7.979,8.104,7.796,7.995,49,40781,8.022,7,327144516,12343.324258056306,99021.20352499632
2022-05-24 00:00:00+00:00,APEUSD,7.995,8.482,7.6,7.763,86,13014,7.742,1,100751843,3790.1547780478563,29345.435397855465
2022-05-25 00:00:00+00:00,APEUSD,7.763,7.837,7.009,7.478,180,174690,7.231,240,1263116115,51171.17253809269,369996.5880232507
2022-05-26 00:00:00+00:00,APEUSD,7.478,7.627,7.262,7.362,225,224343,7.396,10000,1659031201,66525.858084896,491988.5180935516
2022-05-27 00:00:00+00:00,APEUSD,7.362,7.425,6.3,6.396,570,127697,6.79,6,867036886,37554.54019811162,255023.45298484678
2022-05-28 00:00:00+00:00,APEUSD,6.396,6.312,5.814,6.032,96,8551,6.025,10,51513341,2472.442156255252,14894.429956778893
2022-05-29 00:00:00+00:00,APEUSD,6.032,6.353,6.173,6.22,33,15755,6.269,3,98764033,4544.959654931837,28491.233236353237
2022-05-30 00:00:00+00:00,APEUSD,6.22,6.324,6.001,6.22,99,22873,6.212,3,142075468,6688.389654574929,41545.614869608566
2022-05-31 00:00:00+00:00,APEUSD,6.22,7.479,6.14,7.2,92,41274,6.869,2,283495957,12616.236978382967,86672.81014019116
2022-06-01 00:00:00+00:00,APEUSD,7.2,7.314,6.591,6.78,130,9958,6.8,2,67712691,3139.6794691165637,21352.18340377314
2022-06-02 00:00:00+00:00,APEUSD,6.78,7.011,5.92,6.112,177,16366,6.159,15,100791249,4906.647010913139,30245.787841312464
2022-06-03 00:00:00+00:00,APEUSD,6.112,6.446,5.987,6.446,43,1424,6.157,60,8767080,427.81091457235425,2634.1720051078305
2022-06-04 00:00:00+00:00,APEUSD,6.446,6.4,6.001,6.14,48,895,6.148,2,5501646,266.90265650452966,1640.8507426436743
2022-06-05 00:00:00+00:00,APEUSD,6.14,6.2,6.04,6.17,20,92,6.166,10,567255,27.38633845994307,168.86047533875487
2022-06-06 00:00:00+00:00,APEUSD,6.17,6.253,6.07,6.07,15,301,6.135,100,1846382,90.02400159174012,552.2284718329965
2022-06-07 00:00:00+00:00,APEUSD,6.07,6.384,6.145,6.145,19,679,6.237,150,4234710,212.38654624614975,1324.5669391110848
2022-06-08 00:00:00+00:00,APEUSD,6.145,6.223,5.88,5.98,114,105526,6.153,2,649285564,32797.50626508578,201841.06375555656
2022-06-09 00:00:00+00:00,APEUSD,5.98,6.097,5.661,5.74,119,125349,5.95,1,745778035,38156.06115340643,227024.3596289011
2022-06-10 00:00:00+00:00,APEUSD,5.74,5.89,5.661,5.691,31,1434,5.791,1,8303794,435.2889210545906,2520.772070254008
2022-06-11 00:00:00+00:00,APEUSD,5.691,5.696,5.142,5.142,335,309268,5.502,2257,1701298333,91598.04292901905,503913.555906734
2022-06-12 00:00:00+00:00,APEUSD,5.142,5.56,4.698,4.711,525,721147,4.948,67,3568226892,206981.13643246566,1024574.7703949219
2022-06-13 00:00:00+00:00,APEUSD,4.711,4.765,3.929,3.929,206,191010,4.4,627,840261955,53321.93358554256,234628.03123711905
2022-06-14 00:00:00+00:00,APEUSD,3.929,3.953,3.237,3.42,80,34859,3.555,1,123911317,8648.729504675486,30818.37380771368
2022-06-15 00:00:00+00:00,APEUSD,3.42,3.819,3.275,3.46,62,92523,3.409,5,315367511,19967.699007272025,68101.5924916281
2022-06-16 00:00:00+00:00,APEUSD,3.46,4.162,3.091,4.15,52,11479,3.444,270,39533647,2444.928469674387,8430.521067470003
2022-06-17 00:00:00+00:00,APEUSD,4.15,4.215,3.302,3.359,83,41820,3.48,439,145520916,8764.556530676187,30503.422214939805
2022-06-18 00:00:00+00:00,APEUSD,3.359,3.833,3.459,3.833,28,21416,3.584,25,76738684,4466.670507172546,16006.772261951639
2022-06-19 00:00:00+00:00,APEUSD,3.833,3.728,3.125,3.692,294,326836,3.407,100,1113456461,60921.18986225694,207610.09249016922
2022-06-20 00:00:00+00:00,APEUSD,3.692,4.48,3.486,4.075,161,308805,4.259,3000,1315015435,62861.2069622712,267812.61074656405
2022-06-21 00:00:00+00:00,APEUSD,4.075,4.799,3.861,4.375,87,45455,3.985,100,181134543,9054.14396697098,36095.637862184
2022-06-22 00:00:00+00:00,APEUSD,4.375,4.821,4.322,4.364,88,37025,4.539,600,168024652,7730.65073372304,35086.92817367832
2022-06-23 00:00:00+00:00,APEUSD,4.364,4.365,4.0,4.0,78,26296,4.191,700,110200893,5351.95268726451,22437.184849154473
2022-06-24 00:00:00+00:00,APEUSD,4.0,4.456,4.07,4.422,72,61549,4.32,541,265879794,12703.675472989258,54888.851071138655
2022-06-25 00:00:00+00:00,APEUSD,4.422,4.6,4.366,4.512,84,77506,4.513,50,349783022,16403.77677753605,74032.9595005342
2022-06-26 00:00:00+00:00,APEUSD,4.512,4.645,4.326,4.53,28,22679,4.449,240,100887885,4804.042825634496,21372.450437976586
2022-06-27 00:00:00+00:00,APEUSD,4.53,5.3,4.608,4.7,170,109332,5.009,4,547624922,23312.834686160288,116780.67253327057
2022-06-28 00:00:00+00:00,APEUSD,4.7,5.243,4.7,5.129,77,35713,4.842,25,172921262,7507.894362729465,36353.42873744458
2022-06-29 00:00:00+00:00,APEUSD,5.129,5.55,4.841,4.932,133,83092,5.151,1,427946772,17112.580338264026,88151.18907954768
2022-06-30 00:00:00+00:00,APEUSD,4.932,5.1,4.629,4.657,284,284435,4.739,28,1347861280,57055.99366697395,270375.07882554334
2022-07-01 00:00:00+00:00,APEUSD,4.657,4.673,4.22,4.644,180,192756,4.366,2400,841380837,37070.96467478059,161847.7818445043
2022-07-02 00:00:00+00:00,APEUSD,4.644,4.8,4.38,4.596,156,317247,4.533,1,1437844519,62242.489984403706,282213.21858617035
2022-07-03 00:00:00+00:00,APEUSD,4.596,4.551,4.396,4.551,22,697,4.499,7,3135177,134.1192638511037,603.2972374313163
2022-07-04 00:00:00+00:00,APEUSD,4.551,4.685,4.499,4.558,191,44338,4.661,500,206621478,8528.50169530197,39744.91824738791
2022-07-05 00:00:00+00:00,APEUSD,4.558,4.9,4.42,4.9,70,89895,4.618,4,415100344,17611.034476826575,81351.90928990631
2022-07-06 00:00:00+00:00,APEUSD,4.9,5.1,4.651,5.003,65,82596,4.925,3792,406706856,16611.243972639462,81807.6687855409
2022-07-07 00:00:00+00:00,APEUSD,5.003,5.189,4.771,5.087,122,90545,5.002,1,452860007,18274.18689152729,91403.13673217922
2022-07-08 00:00:00+00:00,APEUSD,5.087,5.225,4.94,5.104,233,310372,5.169,1,1604288322,65767.32410422883,339999.65603054577
2022-07-09 00:00:00+00:00,APEUSD,5.104,5.223,4.939,4.95,97,67332,5.047,500,339764964,14560.471879318913,73481.32840229567
2022-07-10 00:00:00+00:00,APEUSD,4.95,5.098,4.978,5.05,29,18537,5.001,3,92691183,3987.108233158591,19937.290045902937
2022-07-11 00:00:00+00:00,APEUSD,5.05,5.052,4.768,4.795,57,14032,4.891,32,68617315,2976.388570057299,14557.562685518289
2022-07-12 00:00:00+00:00,APEUSD,4.795,4.8,4.343,4.365,80,29038,4.546,9,131992053,5912.9757435256815,26885.38678905844
2022-07-13 00:00:00+00:00,APEUSD,4.365,4.391,4.198,4.23,90,22955,4.283,9,98302579,4521.160195099811,19362.959103825164
2022-07-14 00:00:00+00:00,APEUSD,4.23,4.58,4.208,4.541,132,29919,4.441,3000,132868363,5879.783603701716,26116.404517103372
2022-07-15 00:00:00+00:00,APEUSD,4.541,4.701,4.387,4.701,57,20128,4.525,20,91071838,4059.2334187044494,18369.903913913153
2022-07-16 00:00:00+00:00,APEUSD,4.701,4.78,4.567,4.614,77,58420,4.714,1198,275367915,12183.796723654472,57432.60771938166
2022-07-17 00:00:00+00:00,APEUSD,4.614,4.862,4.495,4.731,30,13940,4.636,300,64613858,2914.7834181528583,13513.919491678336
2022-07-18 00:00:00+00:00,APEUSD,4.731,5.12,4.646,4.986,38,14788,4.88,200,72159360,3144.020859484918,15341.061707240666
2022-07-19 00:00:00+00:00,APEUSD,4.986,6.289,5.043,6.04,239,94343,5.875,5,554180291,20787.522191463173,122161.48838474894
2022-07-20 00:00:00+00:00,APEUSD,6.04,6.375,5.715,6.114,119,73393,6.052,1,444139846,16768.56767159281,101544.11664460812
2022-07-21 00:00:00+00:00,APEUSD,6.114,6.519,5.832,5.917,146,48220,6.146,1,296329593,11336.054331148596,69692.03638822783
2022-07-22 00:00:00+00:00,APEUSD,5.917,6.5,5.701,6.5,111,64559,6.134,7,395972876,14845.77887898491,91084.98664310687
2022-07-23 00:00:00+00:00,APEUSD,6.5,6.999,6.277,6.352,126,28094,6.692,2,187992685,6505.331952326975,43546.03990925126
2022-07-24 00:00:00+00:00,APEUSD,6.352,6.898,6.2,6.78,127,59112,6.504,100,384406402,13301.226833721923,86500.43301479831
2022-07-25 00:00:00+00:00,APEUSD,6.78,6.71,6.449,6.449,36,21733,6.536,13,142031628,4935.516473668183,32255.08693691216
2022-07-26 00:00:00+00:00,APEUSD,6.449,6.628,6.01,6.01,150,82584,6.306,780,520749565,18116.753088470257,114245.26611801804
2022-07-27 00:00:00+00:00,APEUSD,6.01,6.0,5.458,5.661,115,30725,5.781,10,177596303,6462.088961489643,37355.47355526044
2022-07-28 00:00:00+00:00,APEUSD,5.661,6.877,5.657,6.84,93,49024,6.326,1040,310110939,10924.604940295576,69197.13997243955
2022-07-29 00:00:00+00:00,APEUSD,6.84,7.178,6.4,6.929,264,212175,6.732,700,1428189160,49593.990319130404,334007.9685844758
2022-07-30 00:00:00+00:00,APEUSD,6.929,7.121,6.56,6.8,137,147912,6.735,1,996110440,35178.92826302468,236934.21591883898
2022-07-31 00:00:00+00:00,APEUSD,6.8,7.1,6.599,6.634,74,63228,6.848,2797,432949694,15259.147092501256,104509.62071061021
2022-08-01 00:00:00+00:00,APEUSD,6.634,7.317,6.692,6.707,63,44867,6.964,249,312446159,10619.593659238764,73958.67869051415
2022-08-02 00:00:00+00:00,APEUSD,6.707,7.083,6.5,6.682,80,31487,6.828,1,214966366,7307.961855218135,49901.23651287255
2022-08-03 00:00:00+00:00,APEUSD,6.682,6.964,6.283,6.664,58,36224,6.409,100,232159488,8274.180944714839,53033.79648725405
2022-08-04 00:00:00+00:00,APEUSD,6.664,7.49,6.682,7.115,145,71988,7.306,1,525878555,16794.64799116651,122704.57822418671
2022-08-05 00:00:00+00:00,APEUSD,7.115,7.78,7.181,7.3,198,166290,7.395,5,1229710639,38021.120914569736,281228.80615895346
2022-08-06 00:00:00+00:00,APEUSD,7.3,7.61,7.343,7.539,40,13050,7.521,579,98140055,3015.175608454047,22675.280475398074
2022-08-07 00:00:00+00:00,APEUSD,7.539,7.549,7.256,7.256,42,18380,7.36,1,135264941,4250.677005799285,31283.202222731867
2022-08-08 00:00:00+00:00,APEUSD,7.256,7.395,7.118,7.211,61,18272,7.281,20,133030800,4211.880981700902,30665.143118322707
2022-08-09 00:00:00+00:00,APEUSD,7.211,7.51,7.27,7.27,50,5868,7.394,5,43385502,1392.645852348787,10297.116709050628
2022-08-10 00:00:00+00:00,APEUSD,7.27,7.427,6.82,7.011,108,60215,7.305,5,439830295,14287.081020401836,104371.24157132945
2022-08-11 00:00:00+00:00,APEUSD,7.011,7.292,6.69,7.088,73,32477,6.904,10,224211723,7573.742169809062,52308.55060293484
2022-08-12 00:00:00+00:00,APEUSD,7.088,7.223,6.85,6.85,53,16087,7.12,1,114536106,3952.376090449166,28140.224320831912
2022-08-13 00:00:00+00:00,APEUSD,6.85,7.1,6.75,7.058,32,20225,6.925,300,140042859,4861.9321891527,33672.59578218319
2022-08-14 00:00:00+00:00,APEUSD,7.058,7.13,6.592,6.638,71,45684,6.81,1800,311087788,11179.550128838657,76133.88085886155
2022-08-15 00:00:00+00:00,APEUSD,6.638,6.84,6.376,6.376,68,12796,6.735,200,86179628,3145.6449142695856,21186.993035981937
2022-08-16 00:00:00+00:00,APEUSD,6.376,6.788,6.165,6.237,68,50874,6.467,1000,328954333,12409.210221086309,80284.51978316705
2022-08-17 00:00:00+00:00,APEUSD,6.237,6.34,6.13,6.185,127,62735,6.279,10,393894690,15068.079029653252,94609.17850662286
2022-08-18 00:00:00+00:00,APEUSD,6.185,6.389,5.964,6.02,154,108535,6.273,100,680817293,25916.72451154616,162594.7309978646
2022-08-19 00:00:00+00:00,APEUSD,6.02,6.41,5.6,5.787,110,175360,5.915,4000,1037174772,40793.30631328595,241308.6281553107
2022-08-20 00:00:00+00:00,APEUSD,5.787,5.787,5.1,5.173,103,122198,5.42,75,662264546,27111.831926041334,147088.14960621714
2022-08-21 00:00:00+00:00,APEUSD,5.173,5.307,4.892,5.088,54,8202,5.127,100,42051555,1734.7007894563105,8894.157839250312
